airline,origin,dest,distance,dep_delay,arr_delay,date
United,ORD,SEA,1704,104,118,2023-03-09
JetBlue,SEA,DFW,1047,-3,1,2023-02-21
Southwest,SEA,DFW,1156,114,120,2023-01-16
United,ORD,ATL,1933,80,94,2023-01-09
American,SFO,ATL,1357,61,79,2023-01-05
JetBlue,ATL,LAX,2363,80,99,2023-01-21
United,SEA,MIA,870,-5,11,2023-01-22
Southwest,DEN,LAX,1837,119,119,2023-01-30
Delta,LAX,ORD,1265,-10,-15,2023-02-21
American,JFK,SFO,899,85,91,2023-01-03
United,LAX,LAS,266,-10,-14,2023-02-28
Delta,LAX,ORD,2308,100,107,2023-02-07
Southwest,MIA,SFO,2195,108,120,2023-02-26
American,DFW,ATL,962,147,159,2023-02-11
Southwest,SEA,LAS,2163,-2,1,2023-01-26
Southwest,SEA,SFO,2382,153,138,2023-01-30
United,LAX,ORD,434,135,152,2023-02-16
AirIndia,ORD,JFK,1241,171,163,2023-02-17
United,SFO,ATL,855,160,173,2023-01-09
American,SFO,ORD,2381,-9,4,2023-02-01
Southwest,ORD,SFO,1365,91,109,2023-01-22
United,DEN,DFW,1504,156,173,2023-03-24
Delta,MIA,JFK,822,90,83,2023-02-24
Southwest,DFW,ATL,886,84,69,2023-03-23
United,SFO,LAS,1857,103,119,2023-02-14
Southwest,LAS,SEA,1037,117,126,2023-02-01
United,LAS,LAX,1242,172,177,2023-01-04
American,LAX,ATL,1334,21,41,2023-03-02
JetBlue,SFO,MIA,373,107,100,2023-01-18
Delta,SEA,JFK,2238,56,74,2023-03-13
American,DEN,DFW,1183,83,68,2023-02-11
United,DFW,DEN,2468,-9,-13,2023-01-19
American,ORD,JFK,1832,101,97,2023-03-07
AirIndia,LAX,MIA,866,148,141,2023-03-26
Southwest,JFK,ATL,1278,63,53,2023-03-03
JetBlue,JFK,ORD,808,-1,4,2023-02-24
AirIndia,ORD,LAX,2186,177,185,2023-03-03
Southwest,SFO,ORD,724,34,43,2023-02-18
United,SEA,MIA,611,85,99,2023-02-16
Southwest,JFK,DFW,550,-9,7,2023-02-10
Delta,SFO,DFW,1799,172,178,2023-03-21
JetBlue,SFO,MIA,425,65,52,2023-03-02
Southwest,LAS,DEN,692,37,32,2023-01-02
American,JFK,DEN,541,95,112,2023-03-04
Delta,DFW,SFO,787,155,173,2023-02-01
Southwest,MIA,ORD,1261,86,82,2023-02-02
American,JFK,DFW,1989,119,138,2023-03-24
JetBlue,JFK,ATL,1606,170,175,2023-01-05
American,LAX,LAS,1162,155,151,2023-01-21
Delta,DFW,LAX,1894,116,125,2023-02-04
Southwest,DEN,JFK,980,155,159,2023-03-18
AirIndia,ORD,SFO,604,84,104,2023-01-13
JetBlue,LAS,DEN,2477,77,70,2023-01-10
Southwest,DFW,LAS,922,90,91,2023-01-26
United,MIA,DFW,887,9,24,2023-03-12
JetBlue,DFW,JFK,773,118,118,2023-02-20
AirIndia,DFW,MIA,1427,127,128,2023-03-03
Southwest,JFK,ORD,1868,92,107,2023-02-05
United,ATL,JFK,881,127,141,2023-03-16
United,DEN,JFK,1016,52,54,2023-01-03
AirIndia,LAX,ATL,2403,-4,5,2023-02-12
JetBlue,ORD,ATL,1892,123,143,2023-01-28
JetBlue,ATL,DEN,2477,76,63,2023-03-19
AirIndia,ATL,ORD,837,63,50,2023-02-09
